Symptom,Symptom_ar
itching, مثير للحكة
skin rash, طفح جلدي
nodal skin eruptions, ثمرات جلدية
continuous sneezing, عطس مستمر
shivering, ارتجاف
chills, قشعريرة
joint pain, ألم في المفاصل
stomach pain, ألم في المعدة
acidity, حموضة
ulcers on tongue, قرح على اللسان
muscle wasting, فقدان العضلات
vomiting, قيء
burning micturition, وخز أثناء التبول
spotting urination, رؤية نقاط أثناء التبول
fatigue, التعب
weight gain, زيادة في الوزن
anxiety, القلق
cold hands and feets, يدين وأقدام باردة
mood swings, تقلبات المزاج
weight loss, فقدان الوزن
restlessness, عدم الاستقرار
lethargy, كسل
patches in throat, بقع في الحلق
irregular sugar level, مستوى سكر غير منتظم
cough, سعال
high fever, حمى عالية
sunken eyes, عيون منخفضة
breathlessness, ضيق التنفس
sweating, تعرق
dehydration, جفاف
indigestion, اضطراب الهضم
headache, صداع
yellowish skin, بشرة صفراوية
dark urine, بول داكن
nausea, غثيان
loss of appetite, فقدان الشهية
pain behind the eyes, ألم خلف العيون
back pain, ألم في الظهر
constipation, الإمساك
abdominal pain, ألم في البطن
diarrhoea, إسهال
mild fever, حمى خفيفة
yellow urine, بول أصفر
yellowing of eyes, تصفير العيون
acute liver failure, فشل كبدي حاد
fluid overload, تحميل السوائل
swelling of stomach, تورم في المعدة
swelled lymph nodes, تورم في الغدد الليمفاوية
malaise, الإحباط
blurred and distorted vision, رؤية ضبابية ومشوشة
phlegm, بلغم
throat irritation, تهيج في الحلق
redness of eyes, احمرار العيون
sinus pressure, ضغط الجيوب الأنفية
runny nose, سيلان الأنف
congestion, احتقان
chest pain, ألم في الصدر
weakness in limbs, ضعف في الأطراف
fast heart rate, سرعة نبض القلب
pain during bowel movements, ألم أثناء حركات الأمعاء
pain in anal region, ألم في المنطقة الشرجية
bloody stool, براز دموي
irritation in anus, تهيج في الشرج
neck pain, ألم في الرقبة
dizziness, دوار
cramps, تشنجات
bruising, كدمات
obesity, البدانة
swollen legs, تورم في الساقين
swollen blood vessels, توسع الأوعية الدموية
puffy face and eyes, وجه وعيون منتفخة
enlarged thyroid, تضخم الغدة الدرقية
brittle nails, أظافر هشة
swollen extremeties, تورم في الأطراف
excessive hunger, جوع مفرط
extra marital contacts, علاقات زوجية خارج الزواج
drying and tingling lips, جفاف ووخز في الشفاه
slurred speech, كلام غير واضح
knee pain, ألم في الركبة
hip joint pain, ألم في مفصل الورك
muscle weakness, ضعف في العضلات
stiff neck, رقبة صلبة
swelling joints, تورم في المفاصل
movement stiffness, تصلب الحركة
spinning movements, حركات دائرية
loss of balance, فقدان التوازن
unsteadiness, عدم استقرار
weakness of one body side, ضعف في جهة الجسم الواحدة
loss of smell, فقدان الشم
bladder discomfort, عدم راحة في المثانة
foul smell ofurine, رائحة كريهة للبول
continuous feel of urine, شعور مستمر بالبول
passage of gases, مرور الغازات
internal itching, حكة داخلية
toxic look (typhos), مظهر سام (تيفوس)
depression, الاكتئاب
irritability, التهيج
muscle pain, ألم في العضلات
altered sensorium, تغير في الوعي
red spots over body, بقع حمراء على الجسم
belly pain, ألم في البطن
abnormal menstruation, دورة شهرية غير طبيعية
dischromic patches, تغير لون الجلد
watering from eyes, تسيل العيون
increased appetite, زيادة في الشهية
polyuria, زيادة في إفراز البول
family history, تاريخ عائلي
mucoid sputum, بلغم مخاطي
rusty sputum, بلغم صدئ
lack of concentration, نقص التركيز
visual disturbances, اضطرابات بصرية
receiving blood transfusion, استلام نقل دم
receiving unsterile injections, تلقي حقن غير معقمة
coma, غيبوبة
stomach bleeding, نزيف في المعدة
distention of abdomen, توسع في البطن
history of alcohol consumption, تاريخ استهلاك الكحول
blood in sputum, دم في البلغم
prominent veins on calf, الأوردة الممتازة على الساق
palpitations, خفقان القلب
painful walking, المشي المؤلم
pus filled pimples, بثور مملوءة بالصديد
blackheads, نقاط سوداء
scurring, تقشير
skin peeling, تقشير الجلد
silver like dusting, غبار فضي مثل الجلد
small dents in nails, ثقوب صغيرة في الأظافر
inflammatory nails, الأظافر التي تعاني من التهاب
blister, فقاعة
red sore around nose, قرحة حمراء حول الأنف
yellow crust_ooze, صفيحة صفراء تنزف
prognosis, التشخيص
