Disease,Description
Drug Reaction, تفاعل دوائي ضار (ADR) هو إصابة ناتجة عن تناول الدواء. قد تحدث تفاعلات ضارة بعد جرعة واحدة أو استخدام مستمر للدواء أو نتيجة لتناول جرعات متعددة من الأدوية.
Malaria, مرض معدي يسببه طفيليات من عائلة البلازموديوم ويمكن نقله عن طريق لدغة البعوض أنوفيليس أو عن طريق إبرة ملوثة أو نقل الدم. الملاريا الفالسيباروم هي النوع الأكثر فتكًا.
Allergy, "الحساسية هي استجابة لجهاز المناعة لمادة أجنبية لا تكون عادة ضارة لجسمك. قد تشمل بعض الأطعمة وحبوب اللقاح وفرو الحيوانات الأليفة. مهمة جهاز المناعة هي الحفاظ على صحتك من خلال مكافحة الممرضات الضارة."
Hypothyroidism, "داء فرط الغدة الدرقية، المعروف أيضا بالغدة الدرقية الكسولة أو الدرقية المنخفضة، هو اضطراب في الجهاز الهضمي حيث لا تنتج الغدة الدرقية كمية كافية من هرمون الغدة الدرقية."
Psoriasis, "صدفية هي اضطراب شائع في الجلد يشكل فيه أطقم سميكة حمراء معقدة بقشور فضية. يمكن أن تظهر في أي مكان ، ولكن معظمها يظهر على فروة الرأس والكوع والركبة والأسفل. الصدفية لا يمكن نقلها من شخص إلى شخص. يحدث أحيانا في أفراد نفس العائلة."
GERD, "مرض انتفاخ المريء الحمضي ، أو GERD ، هو اضطراب هضمي يؤثر على العضلة الانبوبية الرئوية السفلية (LES) ، الحلقة العضلية بين المريء والمعدة. يعاني العديد من الأشخاص ، بما في ذلك النساء الحوامل ، من حرقة المعدة أو حموضة الحموضة الناتجة عن GERD."
Chronic cholestasis, "الأمراض الصفراوية المزمنة ، سواء حدثت في الرضاعة أو الطفولة أو البلوغ ، تتميز بنقص نقل حمض المرارة من الكبد إلى الأمعاء ، والذي يسببه الضرر الأساسي للخلوية الصفراوية في معظم الحالات."
hepatitis A, "التهاب الكبد الفيروسي A هو عدوى كبد معدية بسبب فيروس التهاب الكبد A. يعتبر الفيروس واحدًا من أنواع عديدة من فيروسات التهاب الكبد التي تسبب التهابًا وتؤثر على قدرة الكبد على العمل."
Osteoarthristis, "تعتبر التهاب المفاصل هو أشكال الروماتيزم الأكثر شيوعًا والتي تؤثر على ملايين الأشخاص في جميع أنحاء العالم. يحدث عندما يتآكل الغضروف الواقي الذي يوفر وسادة لنهايات عظامك مع مرور الوقت."
(vertigo) Paroymsal  Positional Vertigo, "الدوار الحميد النوبي الوضعي (BPPV) هو أحد أسباب الدوار الأكثر شيوعًا - الإحساس المفاجئ بأنك تدور أو أن داخل رأسك يدور. يسبب الدوار الحميد النوبي الوضعي حالات قصيرة من الدوار الطفيف إلى الشديد."
Hypoglycemia, الهبوط السكري هو حالة يكون فيها مستوى السكر (الجلوكوز) في الدم أقل من المعتاد. الجلوكوز هو المصدر الرئيسي لطاقة جسمك. غالبًا ما يكون الهبوط السكري مرتبطًا بعلاج السكري. ولكن يمكن أن تسبب أدوية أخرى ومجموعة متنوعة من الحالات - الكثير منها نادر - انخفاض مستوى السكر في الدم لدى الأشخاص الذين لا يعانون من السكري.
Acne, "حب الشباب البسيط هو تكوين لآفات، وعدوى، وحبيبات، وعقيدات، و/أو كيسات نتيجة لاحتباس والتهاب وحدات الشعيرات (متوجة الشعر وغدة الزهم المصاحبة). يظهر حب الشباب على الوجه والجزء العلوي من الجناح. وغالبًا ما يؤثر على المراهقين."
